"par","task","time","sat","comp","group"
"3","1","54","5","1","1"
"3","2","47","5","1","1"
"3","3","362","3.333333333","1","1"
"3","4","242","5","1","1"
"4","1","82","4.666666667","1","1"
"4","2","78","4.666666667","1","1"
"4","3","484","1.666666667","0","1"
"4","4","1008","4.666666667","1","1"
"5","1","46","5","1","1"
"5","2","129","3.666666667","1","1"
"5","3","476","1.333333333","0","1"
"5","4","259","3.666666667","1","1"
"6","1","59","5","1","1"
"6","2","51","5","1","1"
"6","3","660","3.666666667","0","1"
"6","4","1046","4.666666667","1","1"
"7","1","80","4","1","1"
"7","2","76","3","1","1"
"7","3","353","2","0","1"
"7","4","540","2","0","1"
"8","1","71","5","1","1"
"8","2","210","5","1","1"
"8","3","360","2.666666667","0","1"
"8","4","295","4.333333333","0","1"
"9","1","32","5","1","1"
"9","2","38","5","1","1"
"9","3","200","1.666666667","0","1"
"9","4","536","3","1","1"
"10","1","41","4","1","1"
"10","2","63","4","1","1"
"10","3","558","1.666666667","1","1"
"10","4","451","2","0","1"
"11","1","37","4.666666667","1","1"
"11","2","58","4.666666667","1","1"
"11","3","323","3","1","1"
"11","4","301","4.666666667","1","1"
"12","1","33","5","1","1"
"12","2","33","5","1","1"
"12","3","137","2.333333333","0","1"
"12","4","384","4.666666667","1","1"
"13","1","28","5","1","1"
"13","2","42","4.666666667","1","1"
"13","3","372","2.666666667","1","1"
"13","4","158","4","1","1"
"14","1","26","5","1","1"
"14","2","40","5","1","1"
"14","3","285","4.666666667","0","1"
"14","4","291","4.333333333","1","1"
"15","1","319","4","1","1"
"15","2","220","3.333333333","1","1"
"15","3","336","2.333333333","0","1"
"15","4","360","1","0","1"
"16","1","70","5","1","1"
"16","2","70","4.666666667","1","1"
"16","3","600","3","0","1"
"16","4","600","3","0","1"
"17","1","55","4.666666667","1","1"
"17","2","188","4.666666667","1","1"
"17","3","660","2","0","1"
"17","4","600","3","0","1"
"18","1","61","5","1","1"
"18","2","53","5","1","1"
"18","3","600","1.666666667","0","1"
"18","4","564","3.333333333","1","1"
"21","1","272","4.333333333","1","1"
"21","2","90","5","1","1"
"21","3","600","2.666666667","0","1"
"21","4","600","3.666666667","0","1"
"22","1","90","5","1","1"
"22","2","345","5","1","1"
"22","3","600","1.666666667","0","1"
"22","4","600","2","0","1"
"23","1","79","5","1","1"
"23","2","140","3.333333333","1","1"
"23","3","600","2.333333333","0","1"
"23","4","600","2.666666667","0","1"
"24","1","70","3.666666667","1","1"
"24","2","144","3","1","1"
"24","3","600","1.333333333","0","1"
"24","4","144","2","1","1"
"25","1","146","5","1","2"
"25","2","130","5","1","2"
"25","3","210","3.333333333","0","2"
"25","4","190","5","1","2"
"26","1","52","5","1","2"
"26","2","32","5","1","2"
"26","3","345","1.666666667","0","2"
"26","4","349","3.333333333","1","2"
"27","1","115","5","1","2"
"27","2","56","5","1","2"
"27","3","600","3","0","2"
"27","4","600","3.666666667","0","2"
"28","1","66","5","1","2"
"28","2","43","5","1","2"
"28","3","600","4.333333333","0","2"
"28","4","299","3.333333333","0","2"
"29","1","29","5","1","2"
"29","2","69","5","1","2"
"29","3","330","5","0","2"
"29","4","600","3.666666667","0","2"
"30","1","70","5","1","2"
"30","2","75","5","1","2"
"30","3","180","1.666666667","0","2"
"30","4","300","3.333333333","0","2"
"31","1","70","4.333333333","1","2"
"31","2","22","4","1","2"
"31","3","475","2.333333333","1","2"
"31","4","600","2","0","2"
"32","1","43","4.666666667","1","2"
"32","2","50","4","1","2"
"32","3","220","2.333333333","0","2"
"32","4","220","2.333333333","0","2"
"33","1","40","5","1","2"
"33","2","38","5","1","2"
"33","3","190","3.666666667","0","2"
"33","4","153","4.333333333","1","2"
"34","1","22","5","1","2"
"34","2","47","5","1","2"
"34","3","213","4.333333333","1","2"
"34","4","229","4.333333333","1","2"
"35","1","28","4.333333333","1","2"
"35","2","42","4.333333333","1","2"
"35","3","184","3.333333333","1","2"
"35","4","386","3.666666667","1","2"
"36","1","43","5","1","2"
"36","2","56","4.666666667","1","2"
"36","3","282","4.666666667","1","2"
"36","4","600","3","0","2"
"37","1","40","5","1","2"
"37","2","100","5","1","2"
"37","3","600","5","0","2"
"37","4","262","5","1","2"